EventID,DeviceID,EventTimestamp,DeviceType,EventType,Severity,Status,Region,City,Province,ErrorCode,Description
EVT-000444,WLS-OTT-019,2026-01-26 22:28:32,Wireless Infrastructure,HighLatency,Warning,Investigating,Eastern,Ottawa,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000105,WLS-QUE-037,2026-01-27 08:24:19,Wireless Infrastructure,ConnectivityLoss,High,Closed,Eastern,Quebec City,Quebec,NET-503,Device connectivity interrupted
EVT-000219,SWT-OTT-030,2026-01-28 03:24:29,Network Switch,ServiceInterruption,Critical,Open,Eastern,Ottawa,Ontario,SVC-503,Network service interruption detected
EVT-000469,WLS-FRE-029,2026-01-28 05:04:44,Wireless Infrastructure,ConfigurationChange,Informational,Open,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000383,RTR-OTT-008,2026-01-28 08:32:14,Router,ServiceInterruption,Critical,Investigating,Eastern,Ottawa,Ontario,SVC-503,Network service interruption detected
EVT-000258,SWT-HAL-012,2026-01-28 13:11:01,Network Switch,HardwareFailure,Critical,Open,Atlantic,Halifax,Nova Scotia,HW-500,Hardware component failure detected
EVT-000001,AP-FRE-014,2026-01-28 17:49:47,Access Point,DeviceRecovery,Informational,Closed,Atlantic,Fredericton,New Brunswick,REC-200,Network device recovered and returned to service
EVT-000280,SWT-WIN-042,2026-01-29 10:28:46,Network Switch,HardwareFailure,High,Open,Central,Winnipeg,Manitoba,HW-500,Hardware component failure detected
EVT-000155,RTR-OTT-008,2026-01-29 22:20:27,Router,Maintenance,Informational,Closed,Eastern,Ottawa,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000475,AP-VAN-034,2026-01-29 23:24:16,Access Point,HighLatency,High,Closed,Western,Vancouver,British Columbia,LAT-408,Network latency exceeded operational threshold
EVT-000095,WLS-FRE-022,2026-01-30 06:55:18,Wireless Infrastructure,HighLatency,Warning,Investigating,Atlantic,Fredericton,New Brunswick,LAT-408,Network latency exceeded operational threshold
EVT-000283,RTR-QUE-049,2026-01-30 07:30:44,Router,DeviceRecovery,Informational,Closed,Eastern,Quebec City,Quebec,REC-200,Network device recovered and returned to service
EVT-000303,WLS-OTT-032,2026-01-31 02:05:48,Wireless Infrastructure,ConfigurationChange,Informational,Investigating,Eastern,Ottawa,Ontario,CFG-101,Network device configuration was changed
EVT-000464,WLS-TOR-015,2026-01-31 02:55:04,Wireless Infrastructure,ConfigurationChange,Warning,Resolved,Central,Toronto,Ontario,CFG-101,Network device configuration was changed
EVT-000261,RTR-EDM-020,2026-01-31 05:03:17,Router,HighLatency,Warning,Open,Western,Edmonton,Alberta,LAT-408,Network latency exceeded operational threshold
EVT-000055,SRV-OTT-001,2026-02-01 09:01:35,Service Infrastructure,HighLatency,Warning,Resolved,Eastern,Ottawa,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000310,GTW-CAL-050,2026-02-01 11:14:44,Network Gateway,ServiceInterruption,Critical,Closed,Western,Calgary,Alberta,SVC-503,Network service interruption detected
EVT-000305,WLS-FRE-022,2026-02-01 12:07:36,Wireless Infrastructure,HardwareFailure,Critical,Investigating,Atlantic,Fredericton,New Brunswick,HW-500,Hardware component failure detected
EVT-000156,SWT-QUE-018,2026-02-02 05:15:22,Network Switch,HardwareFailure,High,Open,Eastern,Quebec City,Quebec,HW-500,Hardware component failure detected
EVT-000032,AP-CAL-035,2026-02-02 07:03:57,Access Point,ConnectivityLoss,High,Investigating,Western,Calgary,Alberta,NET-503,Device connectivity interrupted
EVT-000495,RTR-QUE-049,2026-02-02 16:01:32,Router,DeviceRecovery,Informational,Closed,Eastern,Quebec City,Quebec,REC-200,Network device recovered and returned to service
EVT-000197,GTW-FRE-010,2026-02-03 00:10:52,Network Gateway,ConfigurationChange,Warning,Investigating,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000405,GTW-CAL-050,2026-02-03 02:38:37,Network Gateway,ConfigurationChange,Informational,Closed,Western,Calgary,Alberta,CFG-101,Network device configuration was changed
EVT-000357,RTR-OTT-008,2026-02-03 12:38:13,Router,HardwareFailure,High,Closed,Eastern,Ottawa,Ontario,HW-500,Hardware component failure detected
EVT-000411,AP-VAN-043,2026-02-03 15:05:18,Access Point,DeviceRecovery,Informational,Closed,Western,Vancouver,British Columbia,REC-200,Network device recovered and returned to service
EVT-000332,WLS-TOR-023,2026-02-03 23:58:28,Wireless Infrastructure,Maintenance,Informational,Closed,Central,Toronto,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000120,GTW-QUE-041,2026-02-04 04:51:27,Network Gateway,DeviceRecovery,Informational,Closed,Eastern,Quebec City,Quebec,REC-200,Network device recovered and returned to service
EVT-000062,RTR-HAL-011,2026-02-04 19:52:52,Router,HardwareFailure,Critical,Open,Atlantic,Halifax,Nova Scotia,HW-500,Hardware component failure detected
EVT-000138,AP-QUE-013,2026-02-04 20:15:29,Access Point,ServiceInterruption,High,Resolved,Eastern,Quebec City,Quebec,SVC-503,Network service interruption detected
EVT-000326,SRV-OTT-001,2026-02-06 08:56:45,Service Infrastructure,HighLatency,Warning,Closed,Eastern,Ottawa,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000170,AP-CAL-035,2026-02-06 10:11:52,Access Point,DeviceRecovery,Informational,Resolved,Western,Calgary,Alberta,REC-200,Network device recovered and returned to service
EVT-000036,SWT-CAL-045,2026-02-06 20:59:17,Network Switch,Maintenance,Informational,Open,Western,Calgary,Alberta,MNT-100,Scheduled network maintenance activity
EVT-000484,WLS-FRE-022,2026-02-06 21:34:28,Wireless Infrastructure,ServiceInterruption,High,Investigating,Atlantic,Fredericton,New Brunswick,SVC-503,Network service interruption detected
EVT-000028,RTR-CAL-047,2026-02-07 04:52:28,Router,HighLatency,Warning,Investigating,Western,Calgary,Alberta,LAT-408,Network latency exceeded operational threshold
EVT-000077,RTR-CAL-021,2026-02-07 06:02:22,Router,PacketLoss,High,Investigating,Western,Calgary,Alberta,PKT-429,Elevated packet loss detected
EVT-000433,SWT-QUE-009,2026-02-07 10:33:58,Network Switch,Maintenance,Informational,Resolved,Eastern,Quebec City,Quebec,MNT-100,Scheduled network maintenance activity
EVT-000370,AP-VAN-034,2026-02-08 02:49:59,Access Point,ServiceInterruption,High,Resolved,Western,Vancouver,British Columbia,SVC-503,Network service interruption detected
EVT-000356,WLS-FRE-029,2026-02-08 20:53:55,Wireless Infrastructure,ConfigurationChange,Warning,Closed,Atlantic,Fredericton,New Brunswick,CFG-101,Network device configuration was changed
EVT-000210,WLS-OTT-019,2026-02-08 23:46:17,Wireless Infrastructure,HighLatency,High,Investigating,Eastern,Ottawa,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000042,AP-VAN-043,2026-02-09 15:55:00,Access Point,Maintenance,Informational,Resolved,Western,Vancouver,British Columbia,MNT-100,Scheduled network maintenance activity
EVT-000266,WLS-TOR-015,2026-02-09 16:40:50,Wireless Infrastructure,PacketLoss,Warning,Open,Central,Toronto,Ontario,PKT-429,Elevated packet loss detected
EVT-000466,AP-VAN-043,2026-02-10 00:24:35,Access Point,PacketLoss,Warning,Investigating,Western,Vancouver,British Columbia,PKT-429,Elevated packet loss detected
EVT-000483,RTR-QUE-049,2026-02-10 13:29:37,Router,Maintenance,Informational,Resolved,Eastern,Quebec City,Quebec,MNT-100,Scheduled network maintenance activity
EVT-000059,RTR-EDM-020,2026-02-10 19:01:39,Router,HighLatency,Warning,Resolved,Western,Edmonton,Alberta,LAT-408,Network latency exceeded operational threshold
EVT-000079,SWT-CAL-036,2026-02-10 19:31:20,Network Switch,ConnectivityLoss,Critical,Resolved,Western,Calgary,Alberta,NET-503,Device connectivity interrupted
EVT-000230,RTR-QUE-049,2026-02-11 22:24:22,Router,Maintenance,Informational,Closed,Eastern,Quebec City,Quebec,MNT-100,Scheduled network maintenance activity
EVT-000003,SRV-VAN-038,2026-02-12 14:06:31,Service Infrastructure,PacketLoss,High,Resolved,Western,Vancouver,British Columbia,PKT-429,Elevated packet loss detected
EVT-000101,AP-VAN-048,2026-02-12 14:34:44,Access Point,Maintenance,Informational,Resolved,Western,Vancouver,British Columbia,MNT-100,Scheduled network maintenance activity
EVT-000277,RTR-FRE-006,2026-02-13 00:36:02,Router,PacketLoss,High,Resolved,Atlantic,Fredericton,New Brunswick,PKT-429,Elevated packet loss detected
EVT-000253,SWT-OTT-033,2026-02-13 13:03:24,Network Switch,ConfigurationChange,Informational,Closed,Eastern,Ottawa,Ontario,CFG-101,Network device configuration was changed
EVT-000019,AP-VAN-034,2026-02-13 15:09:55,Access Point,DeviceRecovery,Informational,Resolved,Western,Vancouver,British Columbia,REC-200,Network device recovered and returned to service
EVT-000175,SRV-OTT-001,2026-02-13 15:10:51,Service Infrastructure,Maintenance,Informational,Open,Eastern,Ottawa,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000021,WLS-TOR-015,2026-02-14 10:56:45,Wireless Infrastructure,ConnectivityLoss,High,Open,Central,Toronto,Ontario,NET-503,Device connectivity interrupted
EVT-000134,SWT-OTT-030,2026-02-14 18:23:06,Network Switch,ServiceInterruption,Critical,Resolved,Eastern,Ottawa,Ontario,SVC-503,Network service interruption detected
EVT-000184,RTR-CAL-021,2026-02-15 08:28:47,Router,ConfigurationChange,Informational,Closed,Western,Calgary,Alberta,CFG-101,Network device configuration was changed
EVT-000192,RTR-QUE-046,2026-02-15 14:06:31,Router,DeviceRecovery,Informational,Resolved,Eastern,Quebec City,Quebec,REC-200,Network device recovered and returned to service
EVT-000225,SRV-WIN-024,2026-02-15 20:21:52,Service Infrastructure,ConfigurationChange,Warning,Closed,Central,Winnipeg,Manitoba,CFG-101,Network device configuration was changed
EVT-000013,RTR-VAN-002,2026-02-16 11:55:43,Router,PerformanceDegradation,High,Resolved,Western,Vancouver,British Columbia,PERF-201,Network performance degradation detected
EVT-000150,AP-FRE-014,2026-02-16 13:51:09,Access Point,ServiceInterruption,High,Investigating,Atlantic,Fredericton,New Brunswick,SVC-503,Network service interruption detected
EVT-000388,RTR-VAN-002,2026-02-16 17:52:36,Router,PerformanceDegradation,High,Closed,Western,Vancouver,British Columbia,PERF-201,Network performance degradation detected
EVT-000476,RTR-EDM-020,2026-02-16 18:59:35,Router,PacketLoss,Warning,Closed,Western,Edmonton,Alberta,PKT-429,Elevated packet loss detected
EVT-000128,SRV-OTT-001,2026-02-16 20:48:02,Service Infrastructure,Maintenance,Informational,Open,Eastern,Ottawa,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000084,AP-QUE-013,2026-02-17 13:02:56,Access Point,HardwareFailure,High,Open,Eastern,Quebec City,Quebec,HW-500,Hardware component failure detected
EVT-000413,SRV-HAL-044,2026-02-17 20:51:44,Service Infrastructure,ServiceInterruption,Critical,Investigating,Atlantic,Halifax,Nova Scotia,SVC-503,Network service interruption detected
EVT-000110,WLS-TOR-015,2026-02-18 00:25:25,Wireless Infrastructure,PerformanceDegradation,Warning,Open,Central,Toronto,Ontario,PERF-201,Network performance degradation detected
EVT-000295,AP-TOR-007,2026-02-18 22:23:07,Access Point,Maintenance,Informational,Resolved,Central,Toronto,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000108,RTR-QUE-049,2026-02-18 23:40:13,Router,PacketLoss,High,Closed,Eastern,Quebec City,Quebec,PKT-429,Elevated packet loss detected
EVT-000329,RTR-QUE-031,2026-02-19 06:05:45,Router,ConnectivityLoss,Critical,Resolved,Eastern,Quebec City,Quebec,NET-503,Device connectivity interrupted
EVT-000479,AP-VAN-034,2026-02-19 12:21:57,Access Point,HardwareFailure,Critical,Investigating,Western,Vancouver,British Columbia,HW-500,Hardware component failure detected
EVT-000320,GTW-MON-040,2026-02-19 16:41:31,Network Gateway,ConnectivityLoss,High,Open,Eastern,Montreal,Quebec,NET-503,Device connectivity interrupted
EVT-000494,WLS-QUE-037,2026-02-19 23:13:46,Wireless Infrastructure,ConfigurationChange,Warning,Resolved,Eastern,Quebec City,Quebec,CFG-101,Network device configuration was changed
EVT-000234,SWT-EDM-016,2026-02-21 12:42:08,Network Switch,HighLatency,Warning,Investigating,Western,Edmonton,Alberta,LAT-408,Network latency exceeded operational threshold
EVT-000063,AP-VAN-048,2026-02-21 19:24:17,Access Point,HighLatency,High,Investigating,Western,Vancouver,British Columbia,LAT-408,Network latency exceeded operational threshold
EVT-000481,SRV-WIN-024,2026-02-22 03:07:18,Service Infrastructure,PerformanceDegradation,Warning,Open,Central,Winnipeg,Manitoba,PERF-201,Network performance degradation detected
EVT-000094,WLS-FRE-029,2026-02-22 18:17:03,Wireless Infrastructure,PerformanceDegradation,High,Investigating,Atlantic,Fredericton,New Brunswick,PERF-201,Network performance degradation detected
EVT-000256,AP-VAN-043,2026-02-23 01:31:56,Access Point,ServiceInterruption,High,Investigating,Western,Vancouver,British Columbia,SVC-503,Network service interruption detected
EVT-000346,WLS-FRE-029,2026-02-23 07:31:14,Wireless Infrastructure,ConnectivityLoss,Critical,Closed,Atlantic,Fredericton,New Brunswick,NET-503,Device connectivity interrupted
EVT-000093,SWT-EDM-016,2026-02-23 07:43:00,Network Switch,ServiceInterruption,Critical,Investigating,Western,Edmonton,Alberta,SVC-503,Network service interruption detected
EVT-000231,WLS-TOR-015,2026-02-23 20:11:39,Wireless Infrastructure,HighLatency,Warning,Open,Central,Toronto,Ontario,LAT-408,Network latency exceeded operational threshold
EVT-000389,AP-FRE-014,2026-02-24 15:12:56,Access Point,HighLatency,Warning,Open,Atlantic,Fredericton,New Brunswick,LAT-408,Network latency exceeded operational threshold
EVT-000051,AP-TOR-007,2026-02-24 17:04:45,Access Point,Maintenance,Informational,Resolved,Central,Toronto,Ontario,MNT-100,Scheduled network maintenance activity
EVT-000312,RTR-QUE-031,2026-02-25 08:29:23,Router,HighLatency,Warning,Open,Eastern,Quebec City,Quebec,LAT-408,Network latency exceeded operational threshold
EVT-000251,GTW-VAN-027,2026-02-25 20:27:00,Network Gateway,HighLatency,High,Open,Western,Vancouver,British Columbia,LAT-408,Network latency exceeded operational threshold
EVT-000418,WLS-TOR-023,2026-02-25 20:27:16,Wireless Infrastructure,HardwareFailure,Critical,Open,Central,Toronto,Ontario,HW-500,Hardware component failure detected
EVT-000267,RTR-EDM-020,2026-02-26 04:55:17,Router,ConfigurationChange,Informational,Resolved,Western,Edmonton,Alberta,CFG-101,Network device configuration was changed
EVT-000334,SWT-QUE-009,2026-02-26 23:32:29,Network Switch,PerformanceDegradation,High,Open,Eastern,Quebec City,Quebec,PERF-201,Network performance degradation detected
EVT-000492,GTW-FRE-010,2026-02-27 07:41:44,Network Gateway,ConnectivityLoss,Critical,Closed,Atlantic,Fredericton,New Brunswick,NET-503,Device connectivity interrupted
EVT-000377,RTR-EDM-020,2026-02-27 18:08:32,Router,DeviceRecovery,Informational,Closed,Western,Edmonton,Alberta,REC-200,Network device recovered and returned to service
EVT-000414,SWT-QUE-018,2026-02-27 18:59:03,Network Switch,Maintenance,Informational,Open,Eastern,Quebec City,Quebec,MNT-100,Scheduled network maintenance activity
EVT-000462,SWT-QUE-009,2026-02-27 22:28:20,Network Switch,ConfigurationChange,Informational,Open,Eastern,Quebec City,Quebec,CFG-101,Network device configuration was changed
EVT-000472,GTW-FRE-010,2026-02-28 08:26:09,Network Gateway,Maintenance,Informational,Resolved,Atlantic,Fredericton,New Brunswick,MNT-100,Scheduled network maintenance activity
EVT-000440,SWT-EDM-016,2026-02-28 15:10:10,Network Switch,DeviceRecovery,Informational,Closed,Western,Edmonton,Alberta,REC-200,Network device recovered and returned to service
EVT-000368,SWT-OTT-033,2026-03-01 01:19:23,Network Switch,ConnectivityLoss,High,Investigating,Eastern,Ottawa,Ontario,NET-503,Device connectivity interrupted
EVT-000131,WLS-OTT-019,2026-03-01 11:01:24,Wireless Infrastructure,ConfigurationChange,Warning,Investigating,Eastern,Ottawa,Ontario,CFG-101,Network device configuration was changed
EVT-000442,SWT-EDM-016,2026-03-01 13:49:16,Network Switch,ConnectivityLoss,High,Closed,Western,Edmonton,Alberta,NET-503,Device connectivity interrupted
EVT-000208,WLS-VAN-017,2026-03-01 23:43:53,Wireless Infrastructure,HardwareFailure,High,Open,Western,Vancouver,British Columbia,HW-500,Hardware component failure detected
EVT-000363,SWT-CAL-036,2026-03-02 01:23:57,Network Switch,HardwareFailure,High,Open,Western,Calgary,Alberta,HW-500,Hardware component failure detected
